月份,大樂透銷售總額,威力彩銷售總額,今彩539銷售總額,電腦型彩券總銷售額,大樂透銷售注數,威力彩銷售注數,今彩539銷售注數,電腦型彩券總銷售注數,大樂透開獎期數,威力彩開獎期數,今彩539開獎期數,電腦型彩券總開獎期數,大樂透單月最高總獎金,威力彩單月最高總獎金,今彩539單月最高總獎金,當月最高總獎金,大樂透平均每期銷售額,威力彩平均每期銷售額,今彩539平均每期銷售額,電腦型彩券平均每期銷售額
2017-03,932145000,527631800,973018800,2432795600,18642900,5276318,19460376,43379594,9,9,27,45,254876671,289939740,36297000,289939740,103571666.66666669,58625755.55555555,36037733.333333336,54062124.44444445
2017-04,752486750,550271700,853042900,2155801350,15049735,5502717,17060858,37613310,8,8,25,41,197542382,424513906,35937900,424513906,94060843.75,68783962.5,34121716.0,52580520.73170732
2017-05,1078430450,747071400,904258700,2729760550,21568609,7470714,18085174,47124497,9,9,27,45,405333005,632893970,37724400,632893970,119825605.55555557,83007933.33333333,33491062.962962963,60661345.55555555
2017-06,890546100,488550500,860640700,2239737300,17810922,4885505,17212814,39909241,9,9,26,44,212175549,382145077,39336300,382145077,98949566.66666669,54283388.88888889,33101565.384615384,50903120.45454545
2017-07,665221300,787078900,818929300,2271229500,13304426,7870789,16378586,37553801,8,9,26,43,135646274,638540730,24744500,638540730,83152662.5,87453211.1111111,31497280.769230768,52819290.697674416
2017-08,830687650,2099018300,862743500,3792449450,16613753,20990183,17254870,54858806,9,9,27,45,248156183,1350038490,37565040,1350038490,92298627.77777778,233224255.55555555,31953462.962962963,84276654.44444445
2017-09,844289800,404432700,861701150,2110423650,16885796,4044327,17234023,38164146,9,8,26,43,312009229,150520078,32754950,312009229,93809977.77777778,50554087.5,33142351.923076924,49079619.76744186
2017-10,1205701000,720187800,914727600,2840616400,24114020,7201878,18294552,49610450,9,9,26,44,380986206,572669527,42396897,572669527,133966777.77777778,80020866.66666667,35181830.76923077,64559463.63636363
2017-11,805783200,1247408200,860911000,2914102400,16115664,12474082,17218220,45807966,8,9,26,43,441424380,980950036,35877050,980950036,100722900.0,138600911.1111111,33111961.53846154,67769823.25581396
2017-12,1096947650,1130695300,885480250,3113123200,21938953,11306953,17709605,50955511,9,8,26,43,410342978,1258564597,39552689,1258564597,121883072.22222222,141336912.5,34056932.692307696,72398213.95348836
2018-01,918999900,486983100,946435800,2352418800,18379998,4869831,18928716,42178545,9,9,27,45,450504302,274592034,38110450,450504302,102111100.0,54109233.333333336,35053177.777777776,52275973.333333336
2018-02,3026342150,938075600,984015550,4948433300,60526843,9380756,19680311,89587910,12,8,24,44,384157333,734564880,40728350,734564880,252195179.16666663,117259450.0,41000647.916666664,112464393.18181819
2018-03,891091000,483533300,981216450,2355840750,17821820,4835333,19624329,42281482,9,9,27,45,185272797,214098782,34945550,214098782,99010111.1111111,53725922.222222224,36341350.0,52352016.666666664
2018-04,923196250,412417100,825822250,2161435600,18463925,4124171,16516445,39104541,8,9,25,42,417725116,171598473,36899700,417725116,115399531.25,45824122.222222224,33032890.0,51462752.38095238
2018-05,1916651850,350537900,800518350,3067708100,38333037,3505379,16010367,57848783,9,9,27,45,909005336,271643538,38579100,909005336,212961316.66666663,38948655.55555555,29648827.777777776,68171291.1111111
2018-06,995731000,316608000,753931600,2066270600,19914620,3166080,15078632,38159332,9,8,26,43,160693447,142768007,33342650,160693447,110636777.77777778,39576000.0,28997369.230769232,48052804.65116279
2018-07,801151750,378670400,752175200,1931997350,16023035,3786704,15043504,34853243,9,9,26,44,223933691,252599581,37180450,252599581,89016861.1111111,42074488.88888889,28929815.384615384,43909030.68181818
2018-08,1074077550,466534100,768427450,2309039100,21481551,4665341,15368549,41515441,9,9,27,45,472719077,416011429,34573800,472719077,119341950.0,51837122.222222224,28460275.925925925,51311980.0
